Stores,Alarms,AlarmItems,TempMean,Humidity,Pressure,TempMin,TempMax
236,45,6133,6.266666,91.010416,992.205555,4.3000,8.2000
236,109,6133,5.120833,93.520833,1001.605555,3.2000,6.4000
236,86,6133,4.494791,94.302083,983.697222,1.9000,6.2000
236,66,6133,3.383333,94.104166,986.659722,1.1000,5.1000
236,58,6133,3.151041,91.250000,990.988888,1.3000,5.2000
236,56,6133,1.268750,87.666666,1008.358333,-2.5000,3.5000
236,57,6133,-1.284375,80.516129,1030.994444,-5.9000,2.2000
236,63,6133,0.222916,86.864583,1035.523611,-3.6000,3.6000
236,73,6133,3.088541,77.860215,1024.869444,-0.4000,5.6000
236,52,6133,3.694791,87.843750,1014.525000,2.5000,4.6000
236,89,6133,3.707291,80.895833,1020.709722,2.1000,4.5000
236,59,6133,2.386458,75.477777,1032.552777,1.2000,3.1000
236,95,6133,1.158333,74.791666,1034.863888,-0.5000,2.1000
236,58,6133,-0.216666,66.325842,1030.448611,-1.9000,1.3000
236,72,6133,0.918750,76.621052,1009.547222,-1.5000,2.9000
236,58,6133,2.994791,89.583333,984.615277,0.6000,4.7000
236,54,6133,1.618750,88.854166,989.275000,-0.2000,4.8000
236,92,6133,1.766666,91.250000,992.252777,0.3000,3.0000
236,67,6133,1.579166,92.739583,1002.145833,-0.1000,3.0000
236,67,6133,2.093750,89.885416,1003.925000,0.2000,3.1000
236,54,6133,0.875000,93.562500,1013.368055,-0.4000,2.8000
236,72,6133,1.038947,84.894736,1012.811267,-0.4000,2.2000
236,69,6133,2.027083,85.489583,1016.909722,0.7000,4.7000
236,82,6133,7.507291,93.083333,1005.805555,4.4000,10.8000
236,59,6133,6.346875,86.479166,1008.014492,4.7000,8.2000
236,63,6133,4.344736,91.723684,1017.197959,2.5000,6.0000
236,63,6133,4.591666,86.402777,1023.310416,2.4000,6.8000
236,60,6133,6.226388,82.958333,1013.302083,3.3000,8.0000
236,82,6133,6.650000,85.513888,1008.056250,4.3000,9.0000
236,69,6133,4.654166,79.555555,1015.985416,2.1000,6.4000
236,89,6133,4.098611,89.847222,999.835416,2.3000,6.5000
236,80,6133,2.775510,82.452054,993.944897,-6.7000,5.0000
236,63,6133,2.172916,91.513888,999.920833,-2.3000,3.8000
236,59,6133,-2.377049,80.164705,1005.759016,-4.1000,-0.9000
236,47,6133,-0.380208,80.177083,1023.400000,-3.9000,1.5000
236,80,6133,-3.256250,73.229166,1031.558333,-7.5000,0.3000
236,80,6133,-3.512500,70.875000,1019.827777,-8.0000,-0.8000
236,54,6133,-1.429473,65.442105,1018.039062,-4.5000,0.6000
236,62,6133,-0.242708,80.781250,1020.058333,-4.1000,3.5000
236,71,6133,-0.076041,68.125000,1018.030555,-2.5000,1.5000
236,61,6133,0.037500,73.104166,1014.891549,-2.7000,1.9000
236,50,6133,1.608333,87.260416,999.036111,-0.8000,3.6000
236,64,6133,2.611458,81.458333,1000.281944,0.2000,4.5000
236,71,6133,1.134375,89.656250,1013.195833,-1.3000,2.6000
237,62,6172,0.747368,88.231578,1021.085915,-4.0000,5.0000
237,49,6172,0.468421,84.147368,1017.097222,-0.7000,1.8000
237,81,6172,2.553125,90.041666,1016.104166,-0.2000,5.5000
237,75,6172,2.157291,82.979166,1024.470833,0.6000,5.1000
237,49,6172,2.553125,71.958333,1026.248611,0.6000,4.9000
237,58,6172,1.876041,84.125000,1021.123611,-0.6000,4.2000
237,76,6172,1.557894,80.884210,1024.894366,-0.4000,3.5000
237,72,6172,1.276041,77.218750,1027.270833,-0.7000,4.7000
237,65,6172,-0.503125,77.062500,1028.708333,-3.3000,2.3000
237,58,6172,-1.085416,73.989583,1029.509722,-6.2000,1.8000
237,68,6172,-1.974736,61.357894,1035.540845,-4.2000,0.2000
237,48,6172,-3.897916,63.239583,1036.319444,-6.9000,-0.9000
237,57,6172,-3.835789,64.136842,1033.270833,-7.0000,0.2000
237,60,6172,-5.843750,62.229166,1029.323611,-8.9000,-3.4000
237,56,6172,-7.232291,68.916666,1033.787500,-10.0000,-4.3000
237,49,6172,-5.013978,66.118279,1024.975714,-7.8000,-1.3000
237,62,6172,-3.589583,81.770833,1012.406944,-5.2000,-1.9000
237,43,6172,-2.063157,76.968421,1009.577464,-3.6000,0.5000
237,48,6172,-1.927368,74.368421,1006.983098,-3.0000,0.0000
237,62,6172,-0.410526,85.589473,999.038028,-1.7000,2.3000
237,69,6172,2.046875,83.072916,997.313888,-3.0000,7.0000
237,74,6172,0.572631,90.305263,996.645070,-0.6000,2.4000
237,76,6172,0.586458,95.312500,997.565277,-0.6000,2.2000
237,75,6172,0.318750,93.041666,1000.894444,-1.8000,2.6000
237,62,6172,-0.402083,87.083333,1007.231944,-1.6000,1.1000
237,56,6172,2.006250,96.906250,1000.545714,-99.9000,96.8000
237,74,6172,3.906250,97.156250,992.682608,-48.5000,97.7000
237,69,6172,2.614583,96.979166,996.138888,1.2000,35.5000
237,69,6172,1.467708,91.041666,1011.890277,0.1000,3.0000
237,64,6172,0.084042,70.808510,1015.983098,-1.3000,1.5000
237,66,6172,-2.192631,61.831578,1019.773611,-5.0000,0.4000
237,47,6172,-3.200000,63.656250,1025.059722,-5.6000,-0.3000
237,46,6172,-1.557291,63.260416,1025.263888,-4.8000,2.3000
237,68,6172,-0.497916,70.791666,1015.893055,-7.3000,5.4000
237,72,6172,0.862500,72.187500,1018.238888,-2.6000,5.7000
237,65,6172,1.638541,79.958333,1020.615942,-98.6000,97.1000
237,83,6172,1.455208,89.718750,1008.227777,-15.7000,48.0000
238,85,6195,0.926315,83.096774,1007.394366,-0.5000,2.1000
238,71,6195,2.155789,86.326315,1006.029166,0.5000,4.3000
238,114,6195,4.782291,85.916666,1007.836111,2.0000,10.1000
238,108,6195,3.730526,86.568421,1012.732394,0.4000,7.0000
238,139,6195,1.136458,93.666666,1014.906944,-1.6000,3.9000
238,84,6195,-0.407291,74.895833,1011.198611,-2.3000,1.6000
238,56,6195,0.679166,78.072916,1004.500000,-0.5000,1.8000
238,54,6195,1.150000,70.260416,1009.930555,-2.1000,5.1000
238,96,6195,1.100000,77.000000,1007.158333,-1.0000,2.8000
238,65,6195,1.429166,75.718750,1003.961111,-0.9000,3.7000
238,53,6195,2.560000,66.800000,1007.069014,-1.2000,8.2000
238,74,6195,2.618750,92.500000,1002.794444,-0.1000,5.9000
238,100,6195,8.879166,84.635416,1001.073611,4.1000,15.4000
238,107,6195,6.720833,85.552083,1002.861111,3.0000,11.7000
238,91,6195,5.571875,64.020833,1019.880555,2.2000,11.1000
238,79,6195,6.702083,64.718750,1017.977777,2.4000,11.9000
238,92,6195,10.281250,67.166666,1010.665277,2.8000,16.8000
238,102,6195,10.134375,74.666666,1007.854166,4.4000,20.2000
238,103,6195,7.553125,72.416666,1014.800000,4.1000,12.7000
238,70,6195,6.234375,61.197916,1018.645833,2.7000,11.9000
238,97,6195,8.040625,64.239583,1014.777777,3.8000,13.2000
238,113,6195,10.077419,70.064516,1012.533333,6.8000,14.9000
238,94,6195,9.049473,85.578947,1014.476056,5.0000,15.5000
238,61,6195,7.145833,94.395833,1015.227777,4.8000,10.1000
238,102,6195,9.281250,87.625000,1015.344444,4.9000,15.3000
238,92,6195,10.250000,80.062500,1024.180555,5.9000,16.7000
238,138,6195,13.185185,71.814814,1029.895833,6.6000,21.5000
238,92,6195,9.225301,78.536585,1007.780555,-15.2000,90.1000
238,70,6195,10.104166,70.760416,1011.748611,6.3000,96.2000
238,109,6195,10.516666,75.802083,1011.036111,6.8000,32.4000
238,74,6195,10.701041,78.000000,1011.755555,7.5000,27.8000
238,130,6195,10.937500,78.125000,1003.083333,6.6000,84.6000
238,89,6195,8.578947,85.863157,1003.942253,6.1000,97.4000
238,104,6195,9.838541,64.145833,1014.491549,5.6000,57.0000
238,75,6195,10.567021,63.478723,1015.092857,5.7000,65.6000
238,122,6195,9.123157,66.042105,1025.075000,2.7000,15.5000
238,112,6195,11.347368,60.273684,1028.938028,3.1000,18.3000
238,157,6195,13.869791,58.114583,1027.965277,5.6000,21.2000
238,159,6195,14.789583,57.781250,1024.347222,6.9000,22.8000
238,176,6195,15.617894,56.884210,1018.512676,7.7000,23.5000
238,255,6195,16.138541,59.020833,1013.686111,10.4000,25.0000
238,142,6195,16.713541,65.520833,1010.311111,10.3000,24.6000
238,164,6195,13.465625,77.552083,1018.555555,8.5000,17.5000
238,136,6195,13.450526,72.947368,1019.904225,6.8000,19.7000
