Stores,Alarms,AlarmItems,TempMean,Humidity,Pressure,TempMin,TempMax
22,3,582,5.116666,95.250000,988.625000,3.7000,6.5000
22,9,582,3.741666,96.083333,999.025000,2.2000,6.3000
22,6,582,1.500000,98.500000,979.170833,-0.1000,4.1000
22,8,582,2.816666,95.750000,986.545833,1.9000,4.2000
22,7,582,1.095833,95.666666,991.983333,-1.5000,3.7000
22,6,582,-0.516666,93.291666,1010.616666,-2.4000,1.3000
22,3,582,-1.629166,85.541666,1031.345833,-5.1000,2.3000
22,1,582,-0.875000,91.750000,1034.454166,-2.5000,2.3000
22,3,582,1.154166,86.166666,1020.725000,-2.0000,3.4000
22,9,582,1.879166,93.791666,1012.112500,1.4000,2.7000
22,4,582,2.245833,100.000000,1020.920833,1.7000,2.8000
22,3,582,1.270833,88.000000,1031.737500,0.9000,1.9000
